ts_utc,league,event_id,event_slug,event_title,event_start,market_id,market_slug,question,token_id,best_bid,best_bid_size,best_ask,best_ask_size,mid,spread,book_hash,tick_size,min_order_size,liquidity,volume
2026-02-25T04:44:19Z,UCL,33506,uefa-champions-league-winner,UEFA Champions League Winner ,2025-07-28T16:48:06.450445Z,566155,will-villarreal-win-the-202526-champions-league,Will Villarreal win the 2025–26 Champions League?,"[""20155560878794739053867236360742085290524070637340176924275745589437669214927"", ""74840349204550494545526544369612479696605734739620821995894424717375629643515""]",,,,,,,,,,,7892075.764682
2026-02-25T04:44:19Z,UCL,33506,uefa-champions-league-winner,UEFA Champions League Winner ,2025-07-28T16:48:06.450445Z,566156,will-eintracht-frankfurt-win-the-202526-champions-league,Will Eintracht Frankfurt win the 2025–26 Champions League?,"[""44502295640052453453468528567471773374460585047835570107312208548251730550687"", ""83316976161831693573840345495338523786007025564748328551038035339165233283009""]",,,,,,,,,,,7817714.745721
2026-02-25T04:44:19Z,UCL,33506,uefa-champions-league-winner,UEFA Champions League Winner ,2025-07-28T16:48:06.450445Z,566167,will-olympiakos-win-the-202526-champions-league,Will Olympiakos win the 2025–26 Champions League?,"[""39554564777734449159113369155925961418775154448775340140622706142513548632046"", ""46948529410162574338604849441677535355244685495315049291453823664074463952614""]",,,,,,,,,,,21360158.2305
2026-02-25T04:44:19Z,UCL,33506,uefa-champions-league-winner,UEFA Champions League Winner ,2025-07-28T16:48:06.450445Z,566157,will-monaco-win-the-202526-champions-league,Will Monaco win the 2025–26 Champions League?,"[""92365353909273296718211879903004356158727076297140954697193316168974948329972"", ""91710677524925475036413359162474134935219615854940539905937421391373571147534""]",,,,,,,,,,801771.938,8993690.965176
2026-02-25T04:44:19Z,UCL,33506,uefa-champions-league-winner,UEFA Champions League Winner ,2025-07-28T16:48:06.450445Z,566161,will-celtic-win-the-202526-champions-league,Will Celtic win the 2025–26 Champions League?,"[""114276008689329576762086582788629506844338419805813739172521334990216491585549"", ""5882253997080656450173518100121766143655488711244678454951506916447849817860""]",,,,,,,,,,,70447.384549
2026-02-25T04:44:19Z,UCL,33506,uefa-champions-league-winner,UEFA Champions League Winner ,2025-07-28T16:48:06.450445Z,566182,will-team-g-win-the-202526-champions-league,Will Team G win the 2025–26 Champions League?,"[""105964687855932662621652279993435306401844112042837204048391437048226192337731"", ""114863252409367170131859619227970200002116578100295637871924176564711201561457""]",,,,,,,,,,0,0
2026-02-25T04:44:19Z,UCL,33506,uefa-champions-league-winner,UEFA Champions League Winner ,2025-07-28T16:48:06.450445Z,566163,will-ajax-win-the-202526-champions-league,Will Ajax win the 2025–26 Champions League?,"[""66238210867796580736743244025112266394072009200933232862297072953655148165016"", ""18491832759883472528052920586615186501076720389035092804420992035191801268891""]",,,,,,,,,,,13373490.72009
2026-02-25T04:44:19Z,UCL,33506,uefa-champions-league-winner,UEFA Champions League Winner ,2025-07-28T16:48:06.450445Z,566166,will-union-saint-gilloise-win-the-202526-champions-league,Will Union Saint-Gilloise win the 2025–26 Champions League?,"[""88649172527907989620879114192231078945535857485421163231800246014567503500944"", ""8530723144410488573227621851575969317510697903783455903927607049155629901235""]",,,,,,,,,,,12756397.600714
2026-02-25T04:44:19Z,UCL,33506,uefa-champions-league-winner,UEFA Champions League Winner ,2025-07-28T16:48:06.450445Z,566168,will-rangers-win-the-202526-champions-league,Will Rangers win the 2025–26 Champions League?,"[""91913476577612035649233126140502940193513852820986709593382572357760454962564"", ""87401242060944888603550501862817218691893437856853540689904190791575000258157""]",,,,,,,,,,,66427.940987
2026-02-25T04:44:19Z,UCL,33506,uefa-champions-league-winner,UEFA Champions League Winner ,2025-07-28T16:48:06.450445Z,566169,will-fenerbahce-win-the-202526-champions-league,Will Fenerbahce win the 2025–26 Champions League?,"[""2049351639580049533405868558915851371528391304573174142020395477517859283294"", ""64322019395588777551634820031378976412458799626056873808259108856814491545377""]",,,,,,,,,,0,90340.440239
